高兴	gāo xìng	1	3980	g-k,in-ing
告诉	gào su	1	4002	g-k,s-sh
哥哥	gē ge	1	4009	g-k
胳膊	gē bo	1	4011	g-k
鸽子	gē zi	1	4012	g-k,z-zh
歌曲	gē qǔ	1	4023	g-k
歌舞	gē wǔ	1	4026	g-k
个子	gè zi	1	4055	g-k,z-zh
各位	gè wèi	1	4066	g-k
更加	gèng jiā	1	4110	g-k,en-eng,eng-ong
工厂	gōng chǎng	1	4111	g-k,eng-ong,on-ong,un-ong,c-ch,an-ang
工具	gōng jù	1	4117	g-k,eng-ong,on-ong,un-ong
工人	gōng rén	1	4119	g-k,eng-ong,on-ong,un-ong,r-l,en-eng
工作	gōng zuò	1	4126	g-k,eng-ong,on-ong,un-ong,z-zh
公车	gōng chē	1	4132	g-k,eng-ong,on-ong,un-ong,c-ch
公共	gōng gòng	1	4140	g-k,eng-ong,on-ong,un-ong
公路	gōng lù	1	4149	g-k,eng-ong,on-ong,un-ong,n-l,r-l
公园	gōng yuán	1	4165	g-k,eng-ong,on-ong,un-ong,uan-uang
公主	gōng zhǔ	1	4170	g-k,eng-ong,on-ong,un-ong,z-zh
功课	gōng kè	1	4180	g-k,eng-ong,on-ong,un-ong
共同	gòng tóng	1	4221	g-k,eng-ong,on-ong,un-ong
姑姑	gū gu	1	4281	g-k
姑娘	gū niang	1	4282	g-k,n-l,ian-iang
古代	gǔ dài	1	4287	g-k,an-ai
古老	gǔ lǎo	1	4293	g-k,n-l,r-l
古人	gǔ rén	1	4296	g-k,r-l,en-eng
骨头	gǔ tou	1	4313	g-k
故事	gù shi	1	4332	g-k,s-sh
故乡	gù xiāng	1	4335	g-k,ian-iang
瓜子	guā zǐ	1	4352	g-k,z-zh
刮风	guā fēng	1	4355	g-k,h-f,en-eng,eng-ong
关心	guān xīn	1	4395	g-k,uan-uang,in-ing
关于	guān yú	1	4397	g-k,uan-uang
观察	guān chá	1	4401	g-k,uan-uang,c-ch
光明	guāng míng	1	4468	g-k,uan-uang,in-ing
广播	guǎng bō	1	4484	g-k,uan-uang
广场	guǎng chǎng	1	4486	g-k,uan-uang,c-ch,an-ang
广大	guǎng dà	1	4487	g-k,uan-uang
国歌	guó gē	1	4569	g-k
国家	guó jiā	1	4574	g-k
国旗	guó qí	1	4576	g-k
国庆	guó qìng	1	4578	g-k,in-ing
果树	guǒ shù	1	4590	g-k,s-sh
果园	guǒ yuán	1	4591	g-k,uan-uang
果汁	guǒ zhī	1	4593	g-k,z-zh
果子	guǒ zi	1	4594	g-k,z-zh
过冬	guò dōng	1	4603	g-k,eng-ong,on-ong,un-ong
过来	guò lái	1	4615	g-k,n-l,r-l,an-ai
过年	guò nián	1	4619	g-k,n-l,ian-iang
过去	guò qù	1	4622	g-k
哈哈	hā ha	1	4636	h-f
还是	hái shi	1	4642	h-f,an-ai,s-sh
孩子	hái zi	1	4644	h-f,an-ai,z-zh
海底	hǎi dǐ	1	4651	h-f,an-ai
海浪	hǎi làng	1	4657	h-f,an-ai,n-l,r-l,an-ang
海洋	hǎi yáng	1	4668	h-f,an-ai,an-ang
害怕	hài pà	1	4677	h-f,an-ai
寒风	hán fēng	1	4700	h-f,an-ang,an-ai,en-eng,eng-ong
寒假	hán jià	1	4701	h-f,an-ang,an-ai
汉语	hàn yǔ	1	4715	h-f,an-ang,an-ai
汉字	hàn zì	1	4716	h-f,an-ang,an-ai,z-zh
汗水	hàn shuǐ	1	4723	h-f,an-ang,an-ai,s-sh
好多	hǎo duō	1	4766	h-f
好久	hǎo jiǔ	1	4769	h-f
好看	hǎo kàn	1	4770	h-f,g-k,an-ang,an-ai
好事	hǎo shì	1	4771	h-f,s-sh
好听	hǎo tīng	1	4774	h-f,in-ing
好像	hǎo xiàng	1	4776	h-f,ian-iang
好笑	hǎo xiào	1	4777	h-f
荷花	hé huā	1	4879	h-f
荷叶	hé yè	1	4880	h-f
盒子	hé zi	1	4891	h-f,z-zh
黑暗	hēi àn	1	4904	h-f,an-ang,an-ai
黑板	hēi bǎn	1	4906	h-f,an-ang,an-ai
黑色	hēi sè	1	4910	h-f,s-sh
